num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
5000,2.56271245611952,0.5,8,0.00119596,0.000983,100,37
5000,2.56271245611952,0.45,9,0.00056127,0.00072168,100,26
5000,2.56271245611952,0.4,10,0.0005798,0.000734389999999999,100,39
5000,2.56271245611952,0.35,12,0.00058525,0.00073372,100,29
5000,2.56271245611952,0.3,14,0.00056988,0.0007264,100,32
5000,2.56271245611952,0.25,16,0.00060784,0.00076551,100,27
5000,2.56271245611952,0.2,20,0.00062304,0.00083157,100,36
5000,2.56271245611952,0.15,27,0.00066312,0.0008585,100,34
5000,2.56271245611952,0.1,40,0.00078041,0.00094465,100,37
5000,2.56271245611952,0.05,81,0.00152489,0.00169309,100,37
10000,5.01287992839959,0.5,8,0.00058393,0.00078776,100,33
10000,5.01287992839959,0.45,9,0.00055196,0.00080514,100,36
10000,5.01287992839959,0.4,10,0.0005364,0.00080366,100,27
10000,5.01287992839959,0.35,12,0.00055852,0.00076641,100,31
10000,5.01287992839959,0.3,14,0.00055204,0.00081084,100,27
10000,5.01287992839959,0.25,16,0.00055905,0.00083964,100,30
10000,5.01287992839959,0.2,20,0.00059441,0.0008984,100,51
10000,5.01287992839959,0.15,27,0.00062479,0.0008556,100,33
10000,5.01287992839959,0.1,40,0.00074859,0.00104034,100,35
10000,5.01287992839959,0.05,81,0.00149781,0.00172763,100,38
15000,2.21998267452793,0.5,8,0.00052045,0.00079649,100,40
15000,2.21998267452793,0.45,9,0.00052067,0.00079725,100,34
15000,2.21998267452793,0.4,10,0.00052692,0.00079605,100,37
15000,2.21998267452793,0.35,12,0.00054158,0.00085738,100,42
15000,2.21998267452793,0.3,14,0.00056132,0.00082326,100,32
15000,2.21998267452793,0.25,16,0.00056776,0.00082537,100,31
15000,2.21998267452793,0.2,20,0.0005907,0.000854519999999999,100,29
15000,2.21998267452793,0.15,27,0.00064252,0.0008926,100,31
15000,2.21998267452793,0.1,40,0.00074733,0.00101941,100,32
15000,2.21998267452793,0.05,81,0.00144968,0.00176637,100,38
20000,2.0801560642611,0.5,8,0.00052025,0.000835709999999999,100,32
20000,2.0801560642611,0.45,9,0.00052051,0.00085634,100,28
20000,2.0801560642611,0.4,10,0.00052527,0.00086374,100,31
20000,2.0801560642611,0.35,12,0.00053357,0.00087048,100,33
20000,2.0801560642611,0.3,14,0.00054464,0.00087971,100,48
20000,2.0801560642611,0.25,16,0.00055822,0.0008873,100,38
20000,2.0801560642611,0.2,20,0.00058577,0.00102594,100,32
20000,2.0801560642611,0.15,27,0.00063847,0.00099437,100,28
20000,2.0801560642611,0.1,40,0.00075758,0.0010986,100,43
20000,2.0801560642611,0.05,81,0.00149299,0.00179396,100,37
25000,4.49203259103922,0.5,8,0.00051417,0.00092366,100,33
25000,4.49203259103922,0.45,9,0.00053327,0.00093863,100,24
25000,4.49203259103922,0.4,10,0.00051813,0.00100238,100,33
