num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
100000,0.00611,0.5,4,0.00054701,0.00192089,0,54
100000,0.00611,0.45,5,0.00053345,0.00186063,2,67
100000,0.00611,0.4,5,0.00053334,0.0018445,0,65
100000,0.00611,0.35,6,0.00053278,0.00181944,0,72
100000,0.00611,0.3,7,0.00054175,0.00181698,1,63
100000,0.00611,0.25,8,0.00056197,0.00189873,2,79
100000,0.00611,0.2,10,0.00055311,0.00182563,3,72
100000,0.00611,0.15,14,0.00056272,0.00175101,2,81
100000,0.00611,0.1,20,0.00059034,0.00172802,11,98
100000,0.00611,0.05,41,0.00079236,0.00185309,29,93
100000,0.01654,0.5,4,0.00058668,0.00186226,0,58
100000,0.01654,0.45,5,0.0005382,0.00186542,1,64
100000,0.01654,0.4,5,0.00051708,0.00175091,1,60
100000,0.01654,0.35,6,0.00052418,0.00186183,2,58
100000,0.01654,0.3,7,0.00052626,0.00185703,6,61
100000,0.01654,0.25,8,0.00055155,0.00180137,3,69
100000,0.01654,0.2,10,0.00057063,0.00181021,10,76
100000,0.01654,0.15,14,0.00058171,0.00169242,16,89
100000,0.01654,0.1,20,0.00057936,0.00148058,21,92
100000,0.01654,0.05,41,0.00075564,0.00155499,54,95
100000,0.01873,0.5,4,0.00051725,0.00181375,1,75
100000,0.01873,0.45,5,0.00051322,0.00179716,2,78
100000,0.01873,0.4,5,0.0005286,0.00185351,3,82
100000,0.01873,0.35,6,0.00052408,0.00180084,4,81
100000,0.01873,0.3,7,0.00052853,0.00185498,7,88
100000,0.01873,0.25,8,0.00052869,0.00185014,5,78
100000,0.01873,0.2,10,0.00053204,0.00171976,8,86
100000,0.01873,0.15,14,0.00055845,0.00169404,18,90
100000,0.01873,0.1,20,0.00060135,0.00162052,21,92
100000,0.01873,0.05,41,0.00082496,0.00138585,48,99
100000,0.0352,0.5,4,0.00051469,0.00171779,1,40
100000,0.0352,0.45,5,0.00051018,0.00175805,4,38
100000,0.0352,0.4,5,0.0005358,0.00185792,5,48
100000,0.0352,0.35,6,0.00054559,0.00175317,4,32
100000,0.0352,0.3,7,0.00052741,0.00171079,6,41
100000,0.0352,0.25,8,0.00052645,0.00173757,9,37
100000,0.0352,0.2,10,0.00053005,0.00171162,12,51
100000,0.0352,0.15,14,0.00054279,0.00155215,21,61
100000,0.0352,0.1,20,0.00056017,0.0013255,47,76
100000,0.0352,0.05,41,0.00069358,0.00118733,70,88
100000,0.03592,0.5,4,0.00052078,0.00184024,0,45
100000,0.03592,0.45,5,0.00050691,0.00177653,1,33
100000,0.03592,0.4,5,0.00052345,0.00172058,1,39
100000,0.03592,0.35,6,0.00050849,0.00174073,2,40
100000,0.03592,0.3,7,0.00055433,0.00168975,8,36
100000,0.03592,0.25,8,0.00052244,0.00163408,6,41
100000,0.03592,0.2,10,0.00053856,0.00178998,18,46
100000,0.03592,0.15,14,0.000532,0.00157464,20,67
100000,0.03592,0.1,20,0.00055064,0.00136395,39,77
100000,0.03592,0.05,41,0.00069373,0.00130628,67,88
100000,0.0381,0.5,4,0.00051833,0.00174782,3,40
100000,0.0381,0.45,5,0.00051167,0.00184812,5,37
100000,0.0381,0.4,5,0.00051582,0.00192672,1,40
100000,0.0381,0.35,6,0.00052248,0.00181713,4,37
100000,0.0381,0.3,7,0.00053056,0.00183886,7,38
100000,0.0381,0.25,8,0.00051705,0.00173133,10,47
100000,0.0381,0.2,10,0.00052937,0.00162749,16,57
100000,0.0381,0.15,14,0.00055963,0.00151799,33,62
100000,0.0381,0.1,20,0.00057243,0.00127797,48,86
100000,0.0381,0.05,41,0.00069156,0.00101616,78,98
100000,0.05146,0.5,4,0.00051754,0.00185115,1,70
100000,0.05146,0.45,5,0.00051045,0.00168297,3,82
100000,0.05146,0.4,5,0.00051443,0.00169197,6,74
100000,0.05146,0.35,6,0.00051506,0.00160998,7,86
100000,0.05146,0.3,7,0.00052303,0.00158138,14,83
