dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
10,30000,0.6,0.5,26,10.139291,0.0007007,14470.2311973741
10,30000,0.6,0.45,55,10.139291,0.00073659,13765.1760137933
10,30000,0.6,0.4,75,10.139291,0.00083111,12199.6979942487
10,30000,0.6,0.35,89,10.139291,0.00080358,12617.6497672914
10,30000,0.6,0.3,99,10.139291,0.00082366,12310.0441929923
10,30000,0.6,0.25,100,10.139291,0.00088676,11434.0870133971
10,30000,0.6,0.2,100,10.139291,0.00107339,9446.0457056615
10,30000,0.6,0.15,100,10.139291,0.00150693,6728.4419316093
10,30000,0.6,0.1,100,10.139291,0.00283807,3572.6007462818
10,30000,0.6,0.05,100,10.139291,0.01879802,539.380796488141
10,30000,0.7,0.5,21,9.945813,0.00073463,13538.5336836231
10,30000,0.7,0.45,29,9.945813,0.00071205,13967.8575942701
10,30000,0.7,0.4,57,9.945813,0.00074066,13428.3112359247
10,30000,0.7,0.35,84,9.945813,0.00077508,12831.9825050317
10,30000,0.7,0.3,96,9.945813,0.00083697,11883.1176744686
10,30000,0.7,0.25,99,9.945813,0.000880189999999999,11299.6205364751
10,30000,0.7,0.2,100,9.945813,0.0010762,9241.60286192158
10,30000,0.7,0.15,100,9.945813,0.00149239,6664.35248158993
10,30000,0.7,0.1,100,9.945813,0.00291518,3411.73203712978
10,30000,0.7,0.05,100,9.945813,0.01831568,543.021771509439
10,30000,0.8,0.5,15,10.938634,0.00070175,15587.650872818
10,30000,0.8,0.45,32,10.938634,0.00070959,15415.4286277992
10,30000,0.8,0.4,36,10.938634,0.00078092,14007.3682323413
10,30000,0.8,0.35,62,10.938634,0.00077439,14125.4845749558
10,30000,0.8,0.3,82,10.938634,0.00085555,12785.4993863597
10,30000,0.8,0.25,92,10.938634,0.00090998,12020.7411151893
10,30000,0.8,0.2,98,10.938634,0.00112229,9746.70896114195
10,30000,0.8,0.15,100,10.938634,0.00157204,6958.241520572
10,30000,0.8,0.1,100,10.938634,0.00291302,3755.08372754049
