dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
10,5000,0.6,0.5,22,0.259474,0.000910620000000001,284.942127341811
10,5000,0.6,0.45,58,0.259474,0.00078836,329.131361307017
10,5000,0.6,0.4,70,0.259474,0.00083568,310.494447635459
10,5000,0.6,0.35,90,0.259474,0.00082213,315.611886198046
10,5000,0.6,0.3,99,0.259474,0.00094703,273.987096501695
10,5000,0.6,0.25,99,0.259474,0.00098573,263.230296328609
10,5000,0.6,0.2,100,0.259474,0.00118499,218.967248668765
10,5000,0.6,0.15,100,0.259474,0.00157748,164.486396024038
10,5000,0.6,0.1,100,0.259474,0.00307273,84.4441262330241
10,5000,0.6,0.05,100,0.259474,0.02065567,12.56187768298
10,5000,0.7,0.5,29,0.18208,0.00072047,252.723916332394
10,5000,0.7,0.45,47,0.18208,0.00072036,252.762507635071
10,5000,0.7,0.4,58,0.18208,0.00074179,245.460305477291
10,5000,0.7,0.35,81,0.18208,0.00078848,230.925324675325
10,5000,0.7,0.3,93,0.18208,0.00081695,222.877777097742
10,5000,0.7,0.25,100,0.18208,0.00091147,199.765214433827
10,5000,0.7,0.2,98,0.18208,0.0011088,164.213564213564
10,5000,0.7,0.15,100,0.18208,0.0015709,115.908078171749
10,5000,0.7,0.1,100,0.18208,0.00282077,64.5497506000135
10,5000,0.7,0.05,100,0.18208,0.0178912,10.17707029154
10,5000,0.8,0.5,14,0.180674,0.000716,252.337988826816
10,5000,0.8,0.45,31,0.180674,0.00073735,245.031531836984
10,5000,0.8,0.4,44,0.180674,0.00077625,232.752334943639
10,5000,0.8,0.35,57,0.180674,0.00078267,230.843139509627
10,5000,0.8,0.3,83,0.180674,0.00084989,212.585158079281
10,5000,0.8,0.25,95,0.180674,0.00095796,188.602864420226
10,5000,0.8,0.2,99,0.180674,0.00113857,158.685017170661
10,5000,0.8,0.15,100,0.180674,0.00153691,117.556655887462
10,5000,0.8,0.1,100,0.180674,0.00310715,58.1478203498383
10,5000,0.8,0.05,100,0.180674,0.01879563,9.61255355633198
10,5000,0.9,0.5,7,0.183944,0.00069492,264.698094744719
10,5000,0.9,0.45,12,0.183944,0.00071495,257.282327435485
