filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.000000_1677.csv,0,0.01,300,100
1000_0.000000_1677.csv,0,0.06,50,100
1000_0.000000_1677.csv,0,0.11,28,100
1000_0.000000_1677.csv,0,0.16,19,100
1000_0.000000_1677.csv,0,0.21,15,100
1000_0.000000_1677.csv,0,0.26,12,100
1000_0.000000_1677.csv,0,0.31,10,100
1000_0.000000_1677.csv,0,0.36,9,100
1000_0.000000_1677.csv,0,0.41,8,100
1000_0.000000_1677.csv,0,0.46,7,100
1000_0.000000_5988.csv,0,0.01,300,100
1000_0.000000_5988.csv,0,0.06,50,100
1000_0.000000_5988.csv,0,0.11,28,100
1000_0.000000_5988.csv,0,0.16,19,100
1000_0.000000_5988.csv,0,0.21,15,100
1000_0.000000_5988.csv,0,0.26,12,100
1000_0.000000_5988.csv,0,0.31,10,100
1000_0.000000_5988.csv,0,0.36,9,100
1000_0.000000_5988.csv,0,0.41,8,100
1000_0.000000_5988.csv,0,0.46,7,100
1000_0.001000_3938.csv,0.001,0.01,300,0
1000_0.001000_3938.csv,0.001,0.06,50,0
1000_0.001000_3938.csv,0.001,0.11,28,0
1000_0.001000_3938.csv,0.001,0.16,19,0
1000_0.001000_3938.csv,0.001,0.21,15,0
1000_0.001000_3938.csv,0.001,0.26,12,0
1000_0.001000_3938.csv,0.001,0.31,10,0
1000_0.001000_3938.csv,0.001,0.36,9,0
1000_0.001000_3938.csv,0.001,0.41,8,0
1000_0.001000_3938.csv,0.001,0.46,7,0
1000_0.001000_4287.csv,0.001,0.01,300,14
1000_0.001000_4287.csv,0.001,0.06,50,0
1000_0.001000_4287.csv,0.001,0.11,28,0
1000_0.001000_4287.csv,0.001,0.16,19,1
1000_0.001000_4287.csv,0.001,0.21,15,0
1000_0.001000_4287.csv,0.001,0.26,12,0
1000_0.001000_4287.csv,0.001,0.31,10,0
1000_0.001000_4287.csv,0.001,0.36,9,0
1000_0.001000_4287.csv,0.001,0.41,8,0
1000_0.001000_4287.csv,0.001,0.46,7,0
1000_0.001000_6513.csv,0.001,0.01,300,0
1000_0.001000_6513.csv,0.001,0.06,50,0
1000_0.001000_6513.csv,0.001,0.11,28,0
1000_0.001000_6513.csv,0.001,0.16,19,0
1000_0.001000_6513.csv,0.001,0.21,15,0
1000_0.001000_6513.csv,0.001,0.26,12,0
1000_0.001000_6513.csv,0.001,0.31,10,0
1000_0.001000_6513.csv,0.001,0.36,9,0
1000_0.001000_6513.csv,0.001,0.41,8,0
1000_0.001000_6513.csv,0.001,0.46,7,0
1000_0.001000_9237.csv,0.001,0.01,300,0
1000_0.001000_9237.csv,0.001,0.06,50,0
1000_0.001000_9237.csv,0.001,0.11,28,0
1000_0.001000_9237.csv,0.001,0.16,19,0
1000_0.001000_9237.csv,0.001,0.21,15,0
1000_0.001000_9237.csv,0.001,0.26,12,0
1000_0.001000_9237.csv,0.001,0.31,10,0
1000_0.001000_9237.csv,0.001,0.36,9,0
1000_0.001000_9237.csv,0.001,0.41,8,0
1000_0.001000_9237.csv,0.001,0.46,7,0
1000_0.003000_3234.csv,0.003,0.01,300,0
1000_0.003000_3234.csv,0.003,0.06,50,0
1000_0.003000_3234.csv,0.003,0.11,28,0
1000_0.003000_3234.csv,0.003,0.16,19,0
1000_0.003000_3234.csv,0.003,0.21,15,0
1000_0.003000_3234.csv,0.003,0.26,12,0
1000_0.003000_3234.csv,0.003,0.31,10,0
1000_0.003000_3234.csv,0.003,0.36,9,0
1000_0.003000_3234.csv,0.003,0.41,8,0
1000_0.003000_3234.csv,0.003,0.46,7,0
1000_0.006000_9734.csv,0.006,0.01,300,51
1000_0.006000_9734.csv,0.006,0.06,50,2
1000_0.006000_9734.csv,0.006,0.11,28,0
1000_0.006000_9734.csv,0.006,0.16,19,0
1000_0.006000_9734.csv,0.006,0.21,15,0
1000_0.006000_9734.csv,0.006,0.26,12,0
1000_0.006000_9734.csv,0.006,0.31,10,0
1000_0.006000_9734.csv,0.006,0.36,9,0
1000_0.006000_9734.csv,0.006,0.41,8,0
1000_0.006000_9734.csv,0.006,0.46,7,0
1000_0.007000_4431.csv,0.007,0.01,300,85
1000_0.007000_4431.csv,0.007,0.06,50,4
1000_0.007000_4431.csv,0.007,0.11,28,2
1000_0.007000_4431.csv,0.007,0.16,19,0
1000_0.007000_4431.csv,0.007,0.21,15,0
1000_0.007000_4431.csv,0.007,0.26,12,0
1000_0.007000_4431.csv,0.007,0.31,10,0
1000_0.007000_4431.csv,0.007,0.36,9,0
1000_0.007000_4431.csv,0.007,0.41,8,0
1000_0.007000_4431.csv,0.007,0.46,7,0
1000_0.013000_6177.csv,0.013,0.01,300,98
1000_0.013000_6177.csv,0.013,0.06,50,7
1000_0.013000_6177.csv,0.013,0.11,28,3
1000_0.013000_6177.csv,0.013,0.16,19,2
1000_0.013000_6177.csv,0.013,0.21,15,0
1000_0.013000_6177.csv,0.013,0.26,12,0
1000_0.013000_6177.csv,0.013,0.31,10,0
1000_0.013000_6177.csv,0.013,0.36,9,0
1000_0.013000_6177.csv,0.013,0.41,8,0
1000_0.013000_6177.csv,0.013,0.46,7,0
1000_0.014000_4245.csv,0.014,0.01,300,98
1000_0.014000_4245.csv,0.014,0.06,50,5
1000_0.014000_4245.csv,0.014,0.11,28,3
1000_0.014000_4245.csv,0.014,0.16,19,1
1000_0.014000_4245.csv,0.014,0.21,15,0
1000_0.014000_4245.csv,0.014,0.26,12,0
1000_0.014000_4245.csv,0.014,0.31,10,0
